"","filename","Cohort","Monkey","Tissue2","Week","no.sites","no.syn.sites","no.ns.sites","mean","mean.syn","mean.ns","mutated.sites.no","mutated.sites","Granuloma","SIV.RNA.per.granuloma","SIV.RNA.per.tissue","CD4.percent","CD8.percent"
"60","Run_6_15_Animal_3116","Mtb NR","3116","plasma",3,1171,586,585,0.00200831758151457,0.000652195407047782,0.00127597923938974,0,NA,NA,NA,NA,NA,NA
"61","Run_6_16_Animal_3116","Mtb NR","3116","plasma",8,1171,586,585,0.00199423967679469,0.000684250840305461,0.00124930993611453,0,NA,NA,NA,NA,NA,NA
"62","Run_6_17_Animal_3116","Mtb NR","3116","pLN",8,1165,583,582,0.00222872289905806,0.000686663673070326,0.00142617744742268,0,NA,"N",NA,28324021.21,NA,NA
"63","Run_6_18_Animal_3116","Mtb NR","3116","Thoracic LN",8,1138,577,561,0.00221790827896908,0.000669183028596187,0.00139157061568627,0,NA,"Y",2348255.039,14676593.99,0.5,0.43
"64","Run_6_19_Animal_3116","Mtb NR","3116","Lung",8,1166,583,583,0.00199991189883035,0.000680346103910806,0.00124294703643225,0,NA,"N",NA,13186.55865,NA,NA
"65","Run_6_20_Animal_3116","Mtb NR","3116","Thoracic LN",8,1162,582,580,0.00198457220330468,0.000632530279209622,0.00129201767672414,0,NA,"N",NA,644645651.8,0.5,0.44
"66","Run_6_21_Animal_3216","Mtb NR","3216","Thoracic LN",9,1166,583,583,0.00197394934516065,0.00072831524348199,0.00118705161377358,0,NA,"N",NA,63945105.47,0.44,0.45
"67","Run_6_22_Animal_3216","Mtb NR","3216","Lung",9,1166,583,583,0.00198898559195985,0.000706788920874786,0.00120050480310463,0,NA,"N",NA,44935.91309,NA,NA
"68","Run_6_23_Animal_30816","Mtb NR","30816","Thoracic LN",8,1142,576,566,0.00272891571302161,0.00105292087777778,0.00155039281678445,1,"335","Y",71355.26563,2140657.969,0.34,0.42
"69","Run_6_24_Animal_4016","SIV only","4016","pLN",8,1171,586,585,0.00183535737389957,0.000549233790255973,0.00113504657724786,0,NA,"N",NA,1357765.833,0.55,0.41
